Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;1998;1998;1000 tonnes;12601;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;1999;1999;1000 tonnes;15479;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2000;2000;1000 tonnes;16147;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2001;2001;1000 tonnes;15428;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2002;2002;1000 tonnes;12399;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2003;2003;1000 tonnes;14710;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2004;2004;1000 tonnes;16139;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2005;2005;1000 tonnes;12722;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2006;2006;1000 tonnes;14663;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2007;2007;1000 tonnes;16487;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2008;2008;1000 tonnes;8508;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2009;2009;1000 tonnes;9123;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2010;2010;1000 tonnes;16068;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2011;2011;1000 tonnes;14683;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2012;2012;1000 tonnes;8134;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2511;Wheat and products;2013;2013;1000 tonnes;9315;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;1998;1998;1000 tonnes;561;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;1999;1999;1000 tonnes;538;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2000;2000;1000 tonnes;537;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2001;2001;1000 tonnes;521;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2002;2002;1000 tonnes;482;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2003;2003;1000 tonnes;503;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2004;2004;1000 tonnes;533;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2005;2005;1000 tonnes;521;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2006;2006;1000 tonnes;514;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2007;2007;1000 tonnes;591;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2008;2008;1000 tonnes;567;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2009;2009;1000 tonnes;493;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2010;2010;1000 tonnes;599;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2011;2011;1000 tonnes;417;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2012;2012;1000 tonnes;442;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2511;Wheat and products;2013;2013;1000 tonnes;424;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;1998;1998;1000 tonnes;674;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;1999;1999;1000 tonnes;1106;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2000;2000;1000 tonnes;603;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2001;2001;1000 tonnes;582;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2002;2002;1000 tonnes;473;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2003;2003;1000 tonnes;479;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2004;2004;1000 tonnes;707;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2005;2005;1000 tonnes;638;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2006;2006;1000 tonnes;796;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2007;2007;1000 tonnes;720;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2008;2008;1000 tonnes;831;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2009;2009;1000 tonnes;890;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2010;2010;1000 tonnes;829;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2011;2011;1000 tonnes;1166;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2012;2012;1000 tonnes;1046;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2805;Rice and products;2013;2013;1000 tonnes;1043;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;1998;1998;1000 tonnes;41;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;1999;1999;1000 tonnes;55;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2000;2000;1000 tonnes;35;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2001;2001;1000 tonnes;32;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2002;2002;1000 tonnes;24;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2003;2003;1000 tonnes;27;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2004;2004;1000 tonnes;40;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2805;Rice and products;2005;2005;1000 tonnes;37;S;Standardized data
